name,salary_from,salary_to,salary_currency,area_name,published_at
Механик по транспорту,50000.0,59000.0,RUR,Владивосток,2022-12-29T01:18:47+0300
Системный администратор,,70000.0,RUR,Владивосток,2022-12-29T02:00:05+0300
Флорист-дизайнер,,36000.0,RUR,Томск,2022-12-29T04:43:49+0300
Токарь-карусельщик,100000.0,,RUR,Иркутск,2022-12-29T03:02:24+0300
Инженер отдела сопровождения компьютерной техники,60000.0,65000.0,RUR,Петропавловск-Камчатский,2022-12-29T00:36:44+0300
Ведущий инженер отделения (информационных технологий и автоматизированных систем управления),55000.0,60000.0,RUR,Владивосток,2022-12-29T03:23:58+0300
Менеджер отдела сервиса (Кассовое оборудование),80460.0,86200.0,RUR,Москва,2022-12-29T00:15:26+0300
Токарь-расточник,100000.0,,RUR,Иркутск,2022-12-29T03:01:56+0300
Слесарь,,45000.0,RUR,Новосибирск,2022-12-29T05:12:02+0300
Оформитель торгового комплекса (д. Елино),45000.0,55000.0,RUR,Зеленоград,2022-12-29T03:19:32+0300
Токарь,300000.0,300000.0,KZT,Усть-Каменогорск,2022-12-29T05:23:34+0300
Автомеханик,,65000.0,RUR,Черемхово,2022-12-29T03:55:10+0300
Механик по сервису (Дистрибьютор строительной техники Сase),50000.0,160000.0,RUR,Новосибирск,2022-12-29T04:39:02+0300
Инженер средств радио и телевидения,37000.0,42000.0,RUR,Спасск-Дальний,2022-12-29T01:18:47+0300
Инженер-программист отдела системного и сетевого администрирования,62000.0,68000.0,RUR,Петропавловск-Камчатский,2022-12-29T00:36:47+0300
Мастер по ремонту оргтехники и заправке картриджей,50000.0,55000.0,RUR,Иркутск,2022-12-29T05:11:05+0300
Специалист по сервисному обслуживанию банковского оборудования,65000.0,,RUR,Анадырь,2022-12-29T03:51:47+0300
Специалист по внедрению и сопровождению экономического ПО на платформе Гедымин,2500.0,,BYR,Минск,2022-12-29T01:20:00+0300
Теплотехник,75000.0,85000.0,RUR,Новосибирск,2022-12-29T04:19:13+0300
Программист 1C,100000.0,130000.0,RUR,Находка,2022-12-29T04:37:24+0300
Электромеханик,30000.0,32000.0,RUR,Уссурийск,2022-12-29T01:18:48+0300
Старший электромеханик,30000.0,39000.0,RUR,Дальнереченск,2022-12-29T01:18:47+0300
Senior Android разработчик (удаленно),350000.0,,RUR,Санкт-Петербург,2022-12-29T00:01:32+0300
Оформитель торгового комплекса (Пр-т Аксайский),34000.0,,RUR,Аксай (Ростовская область),2022-12-29T03:17:49+0300
Инженер по координации (Сервисный отдел),50000.0,80000.0,RUR,Новосибирск,2022-12-29T05:46:30+0300
Токарь (с функцией фрезеровки),55000.0,60000.0,RUR,Новосибирск,2022-12-29T05:46:43+0300
Оператор / наладчик токарных станков с ЧПУ (16М30Ф3; Ф3; CKE6180Z; Haas ST-30; Haas ST-20.0),50000.0,,RUR,Томск,2022-12-29T05:55:46+0300
Junior программист 1С,50000.0,80000.0,RUR,Владивосток,2022-12-29T03:54:05+0300
Ведущий инженер-программист отдела ПиА,68000.0,75000.0,RUR,Петропавловск-Камчатский,2022-12-29T00:36:38+0300
Фрезеровщик,30000.0,30000.0,RUR,Новосибирск,2022-12-29T05:24:32+0300
Middle программист 1С,150000.0,170000.0,RUR,Владивосток,2022-12-29T03:53:25+0300
Ведущий специалист отдела системного и сетевого администрирования,68000.0,75000.0,RUR,Петропавловск-Камчатский,2022-12-29T00:36:41+0300
Токарь-карусельщик,80000.0,,RUR,Каменск-Уральский,2022-12-29T05:38:36+0300
Оформитель торгового комплекса,28800.0,31100.0,RUR,Челябинск,2022-12-29T03:19:44+0300
Токарь-расточник,60000.0,70000.0,RUR,Новокузнецк,2022-12-29T04:56:08+0300
Ведущий инженер средств радио и телевидения,55000.0,58000.0,RUR,Уссурийск,2022-12-29T01:18:47+0300
"Мастер сервисного центра, ТЦ Фортуна Гранд",32300.0,,RUR,Иркутск,2022-12-29T03:58:24+0300
Токарь,45000.0,,RUR,Новокузнецк,2022-12-29T05:35:55+0300
Ведущий-инженер программист (системный администратор),68000.0,75000.0,RUR,Владивосток,2022-12-29T01:18:47+0300
Старший электромеханик,33000.0,37000.0,RUR,Находка,2022-12-29T01:18:47+0300
Токарь,70000.0,,RUR,Каменск-Уральский,2022-12-29T05:38:44+0300
Токарь-расточник,80000.0,,RUR,Каменск-Уральский,2022-12-29T05:38:39+0300
Токарь 5-6 разряд,100000.0,110000.0,RUR,Каменск-Уральский,2022-12-29T05:38:33+0300
Специалист по ремонту банковского оборудования,55000.0,,RUR,Свободный,2022-12-29T03:50:19+0300
Android Developer ( middle++\ senior),250000.0,,RUR,Новосибирск,2022-12-29T04:48:36+0300
